archivo,ciclo,tipo,proceso,fecha_examen,paginas,ruta,paginas_texto,familia,condiciones,columnas,n_puntajes,n_codigos,n_nombres,n_cortes,utilidad
EG2025II.pdf,2025,ordinario,SEGUNDO EXAMEN ORDINARIO 2025,15/12/2024,59,data/raw/2025/EG2025II.pdf,59,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,3664,0,1651,52,con_denominador
EG2025III.pdf,2025,ordinario,TERCER EXAMEN ORDINARIO 2025,16/02/2025,32,data/raw/2025/EG2025III.pdf,32,DEVEXP,INGRESO,Condición|Nombre|Nota 01|Nota 02|Ord.|Total,2589,0,661,27,solo_ingresantes
ExpRechazados2025CCI.pdf,2025,convenio_cci,,,1,data/raw/2025/ExpRechazados2025CCI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Extraordinario2025I.pdf,2025,extraordinario,,,65,data/raw/2025/Extraordinario2025I.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Extraordinario2025II.pdf,2025,traslado,EXAMEN EXTRAORDINARIO 2025 II - TRASLADO EXTERNO NACIONAL II,03/08/2025,28,data/raw/2025/Extraordinario2025II.pdf,28,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,90,0,57,0,solo_ingresantes
NoAptos2025RS.pdf,2025,lista_aptos,,,2,data/raw/2025/NoAptos2025RS.pdf,1,MS-OFFICE,,,0,0,0,0,vacio_para_regex
RendimientoSuperior2025.pdf,2025,rendimiento_superior,EXAMEN EXTRAORDINARIO 2025 I - RENDIMIENTO SUPERIOR - AREQUIPA,14/07/2024,63,data/raw/2025/RendimientoSuperior2025.pdf,63,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,1150,0,784,0,con_denominador
precatolica2025-I.pdf,2025,precatolica,PRECATOLICA 2025-I,07/07/2024,63,data/raw/2025/precatolica2025-I.pdf,63,DEVEXP,NSP,Código|Nombre|Ord.,1136,0,1062,0,puntajes_sin_condicion
precatolica2025-III.pdf,2025,precatolica,PRIMER EXAMEN DE SELECCION PRECATOLICA 2025-III,19/01/2025,58,data/raw/2025/precatolica2025-III.pdf,58,DEVEXP,NSP,Código|Nombre|Ord.,876,0,807,0,puntajes_sin_condicion
precatolica2025-III_final3.pdf,2025,precatolica,SEGUNDO EXAMEN DE SELECCION PRECATOLICA 2025-III,09/02/2025,59,data/raw/2025/precatolica2025-III_final3.pdf,59,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,3593,0,1286,52,con_denominador
precatolica2025-IIfinal.pdf,2025,precatolica,PRECATOLICA 2025-II,08/12/2024,61,data/raw/2025/precatolica2025-IIfinal.pdf,61,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,4401,0,1728,50,con_denominador
precatolica2025-Ifinal.pdf,2025,precatolica,PRECATOLICA 2025-I,18/08/2024,63,data/raw/2025/precatolica2025-Ifinal.pdf,63,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Código|Nombre|Nota 01|Nota 02|Ord.|Total,4580,0,1788,52,con_denominador
2026CCI-I.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,27/04/2025,21,data/raw/2026/2026CCI-I.pdf,21,DEVEXP,NO INGRESO,Condición|Nombre|Nota 01|Nota 02|Ord.|Total,318,0,107,0,con_denominador
2026CCI-I_medicina.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO DE COOPERACION INTERINSTITUCIONAL,27/04/2025,2,data/raw/2026/2026CCI-I_medicina.pdf,2,DEVEXP,NO INGRESO|NSP,Condición|Nombre|Ord.|Total,67,0,121,0,con_denominador
Aptos2026CCI.pdf,2026,convenio_cci,,,6,data/raw/2026/Aptos2026CCI.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
Aptos2026RS.pdf,2026,lista_aptos,,,12,data/raw/2026/Aptos2026RS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
DISTANCIA_E2026I.pdf,2026,distancia,PRIMER EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO I,02/11/2025,26,data/raw/2026/DISTANCIA_E2026I.pdf,26,DEVEXP,INGRESO|NO INGRESO|NSP,Condición|Nombre|Ord.|Total,119,0,110,0,con_denominador
EDYS2026OII.pdf,2026,distancia,SEGUNDO EXAMEN ESTUDIOS A DISTANCIA Y SEMIPRESENCIAL 2026 - ORDINARIO II,25/01/2026,30,data/raw/2026/EDYS2026OII.pdf,30,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,154,0,122,0,solo_ingresantes
EG2026I.pdf,2026,ordinario,PRIMER EXAMEN ORDINARIO 2026,24/08/2025,52,data/raw/2026/EG2026I.pdf,52,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,779,0,651,52,solo_ingresantes
EG2026II.pdf,2026,ordinario,SEGUNDO EXAMEN ORDINARIO 2026,21/12/2025,56,data/raw/2026/EG2026II.pdf,56,DEVEXP,INGRESO,Condición|Código|Nombre|Ord.|Total,1260,0,566,56,solo_ingresantes
Extraordinario2026I.pdf,2026,convenio_cci,EXAMEN EXTRAORDINARIO 2026 I - CONVENIO ANDRES BELLO,01/02/2026,65,data/raw/2026/Extraordinario2026I.pdf,65,DEVEXP,INGRESO,Condición|Nombre|Ord.|Total,227,0,226,0,solo_ingresantes
NoAptos2026RS.pdf,2026,lista_aptos,,,2,data/raw/2026/NoAptos2026RS.pdf,0,MS-OFFICE,,,0,0,0,0,vacio_para_regex
RESULT_BECA_ESPERANZA2026.pdf,2026,beca,RESULTADOS EXAMEN DE ADMISION 2026 - BECA ESPERANZA JOVEN,15/03/2026,4,data/raw/2026/RESULT_BECA_ESPERANZA2026.pdf,4,DEVEXP,,Condición|Nombre|Ord.|Total,180,0,217,0,puntajes_sin_condicion
